x_true, y_true, vx_true, vy_true, sensor, nis
26.4107, -4.7788, 3.8121, 3.5321, R, 5.1958
26.5989, -4.5996, 3.7145, 3.6358, L, 1.7126
26.7821, -4.4153, 3.6139, 3.7368, R, 1.9735
26.9602, -4.2260, 3.5104, 3.8349, L, 2.0121
27.1331, -4.0319, 3.4040, 3.9302, R, 1.7594
27.3006, -3.8330, 3.2950, 4.0225, L, 2.6065
27.4625, -3.6297, 3.1832, 4.1117, R, 7.8400
27.6188, -3.4219, 3.0690, 4.1977, L, 0.6748
27.7694, -3.2099, 2.9524, 4.2805, R, 2.0279
27.9140, -2.9939, 2.8335, 4.3599, L, 1.1681
28.0527, -2.7740, 2.7124, 4.4359, R, 0.5248
28.1853, -2.5504, 2.5893, 4.5083, L, 1.7227
28.3116, -2.3232, 2.4643, 4.5772, R, 0.2122
28.4317, -2.0927, 2.3374, 4.6425, L, 1.8714
28.5453, -1.8590, 2.2089, 4.7041, R, 2.0541
28.6526, -1.6223, 2.0788, 4.7620, L, 0.6635
28.7532, -1.3828, 1.9474, 4.8161, R, 3.2763
28.8473, -1.1407, 1.8147, 4.8664, L, 0.6735
28.9347, -0.8962, 1.6808, 4.9128, R, 4.1316
29.0154, -0.6494, 1.5460, 4.9554, L, 0.3338
29.0893, -0.4006, 1.4102, 4.9941, R, 2.6338
29.1564, -0.1500, 1.2738, 5.0289, L, 2.5065
29.2167, 0.1023, 1.1368, 5.0598, R, 4.7632
29.2701, 0.3560, 0.9994, 5.0868, L, 0.1627
29.3166, 0.6110, 0.8616, 5.1099, R, 1.3093
29.3563, 0.8670, 0.7237, 5.1291, L, 3.1898
29.3890, 1.1239, 0.5857, 5.1444, R, 2.4609
29.4149, 1.3815, 0.4479, 5.1558, L, 1.2406
29.4338, 1.6396, 0.3103, 5.1635, R, 2.6114
29.4459, 1.8979, 0.1730, 5.1673, L, 0.2590
29.4512, 2.1564, 0.0362, 5.1674, R, 1.3306
29.4496, 2.4147, -0.0999, 5.1637, L, 2.0764
29.4412, 2.6728, -0.2353, 5.1564, R, 0.4314
29.4260, 2.9305, -0.3699, 5.1455, L, 5.5689
29.4042, 3.1875, -0.5034, 5.1311, R, 3.2024
29.3757, 3.4437, -0.6359, 5.1131, L, 2.2659
29.3406, 3.6989, -0.7672, 5.0917, R, 1.0348
29.2990, 3.9530, -0.8972, 5.0670, L, 3.9620
29.2509, 4.2057, -1.0257, 5.0390, R, 2.0491
29.1964, 4.4570, -1.1528, 5.0078, L, 2.5145
29.1356, 4.7066, -1.2782, 4.9734, R, 0.9113
29.0686, 4.9544, -1.4019, 4.9361, L, 0.9676
28.9954, 5.2003, -1.5239, 4.8958, R, 1.1427
28.9162, 5.4442, -1.6440, 4.8527, L, 2.9475
28.8310, 5.6858, -1.7621, 4.8068, R, 7.7573
28.7399, 5.9250, -1.8782, 4.7582, L, 0.0931
28.6431, 6.1617, -1.9922, 4.7071, R, 3.7042
28.5407, 6.3959, -2.1041, 4.6536, L, 0.0674
28.4327, 6.6272, -2.2138, 4.5977, R, 11.6558
28.3192, 6.8558, -2.3212, 4.5395, L, 1.2315
28.2005, 7.0813, -2.4263, 4.4792, R, 2.1669
28.0765, 7.3039, -2.5290, 4.4169, L, 3.8756
27.9475, 7.5232, -2.6293, 4.3526, R, 1.0733
27.8135, 7.7393, -2.7272, 4.2866, L, 0.1663
27.6747, 7.9520, -2.8226, 4.2188, R, 0.8763
27.5312, 8.1613, -2.9156, 4.1494, L, 0.3488
27.3831, 8.3671, -3.0060, 4.0785, R, 2.9606
27.2305, 8.5694, -3.0939, 4.0062, L, 0.9456
27.0736, 8.7679, -3.1792, 3.9327, R, 1.7625
26.9125, 8.9628, -3.2620, 3.8579, L, 6.7937
26.7473, 9.1539, -3.3422, 3.7822, R, 4.9350
26.5781, 9.3412, -3.4199, 3.7054, L, 2.0854
26.4052, 9.5246, -3.4950, 3.6278, R, 1.9636
26.2285, 9.7041, -3.5676, 3.5494, L, 0.5142
26.0483, 9.8797, -3.6376, 3.4704, R, 2.0627
25.8646, 10.0514, -3.7051, 3.3909, L, 3.4675
25.6776, 10.2190, -3.7702, 3.3109, R, 3.5912
25.4875, 10.3826, -3.8327, 3.2305, L, 3.4997
25.2942, 10.5422, -3.8928, 3.1499, R, 3.9825
25.0980, 10.6978, -3.9504, 3.0691, L, 0.4081
24.8990, 10.8493, -4.0057, 2.9882, R, 1.9945
24.6973, 10.9967, -4.0586, 2.9073, L, 0.2777
24.4930, 11.1402, -4.1092, 2.8265, R, 6.4746
24.2862, 11.2795, -4.1575, 2.7459, L, 0.8077
24.0771, 11.4149, -4.2035, 2.6655, R, 2.6577
23.8657, 11.5462, -4.2474, 2.5855, L, 2.2901
23.6522, 11.6736, -4.2891, 2.5059, R, 0.9605
23.4366, 11.7970, -4.3287, 2.4268, L, 0.4715
23.2191, 11.9164, -4.3662, 2.3482, R, 0.4770
22.9998, 12.0319, -4.4017, 2.2702, L, 0.6658
22.7788, 12.1436, -4.4353, 2.1930, R, 0.8929
22.5561, 12.2513, -4.4670, 2.1164, L, 0.0314
22.3319, 12.3553, -4.4968, 2.0407, R, 1.3187
22.1062, 12.4555, -4.5248, 1.9659, L, 2.3415
21.8792, 12.5520, -4.5511, 1.8919, R, 2.6862
21.6509, 12.6448, -4.5757, 1.8190, L, 0.2530
21.4215, 12.7340, -4.5988, 1.7471, R, 1.1008
21.1909, 12.8197, -4.6202, 1.6762, L, 6.1493
20.9593, 12.9018, -4.6401, 1.6065, R, 2.9584
20.7267, 12.9804, -4.6586, 1.5379, L, 2.0826
20.4932, 13.0557, -4.6757, 1.4705, R, 5.1974
20.2589, 13.1276, -4.6914, 1.4044, L, 1.0926
20.0239, 13.1962, -4.7059, 1.3395, R, 5.6648
19.7882, 13.2616, -4.7192, 1.2759, L, 2.0740
19.5518, 13.3239, -4.7313, 1.2137, R, 4.2802
19.3149, 13.3831, -4.7423, 1.1529, L, 3.1484
19.0774, 13.4392, -4.7523, 1.0934, R, 1.6906
18.8395, 13.4925, -4.7612, 1.0354, L, 0.5423
18.6011, 13.5429, -4.7693, 0.9788, R, 1.3710
18.3624, 13.5904, -4.7764, 0.9237, L, 5.2633
18.1233, 13.6353, -4.7828, 0.8700, R, 4.0427
17.8839, 13.6775, -4.7883, 0.8179, L, 0.9841
17.6443, 13.7172, -4.7932, 0.7673, R, 3.9029
17.4044, 13.7543, -4.7973, 0.7182, L, 0.0728
17.1644, 13.7890, -4.8009, 0.6707, R, 1.7827
16.9242, 13.8214, -4.8039, 0.6248, L, 0.9961
16.6839, 13.8516, -4.8063, 0.5804, R, 4.4619
16.4434, 13.8795, -4.8082, 0.5376, L, 2.0095
16.2029, 13.9054, -4.8097, 0.4965, R, 0.9908
15.9623, 13.9292, -4.8109, 0.4569, L, 0.6998
15.7217, 13.9511, -4.8116, 0.4189, R, 1.6608
15.4810, 13.9712, -4.8120, 0.3826, L, 0.5519
15.2404, 13.9895, -4.8122, 0.3479, R, 2.3511
14.9997, 14.0060, -4.8121, 0.3148, L, 1.6068
14.7591, 14.0210, -4.8118, 0.2834, R, 7.9611
14.5184, 14.0344, -4.8113, 0.2536, L, 2.0877
14.2778, 14.0464, -4.8107, 0.2254, R, 0.9299
14.0373, 14.0570, -4.8099, 0.1989, L, 3.7437
13.7967, 14.0663, -4.8091, 0.1741, R, 9.3103
13.5563, 14.0745, -4.8082, 0.1509, L, 0.0390
13.3158, 14.0815, -4.8073, 0.1293, R, 1.0778
13.0755, 14.0874, -4.8064, 0.1095, L, 0.7096
12.8351, 14.0925, -4.8054, 0.0912, R, 1.9090
12.5949, 14.0966, -4.8045, 0.0746, L, 0.3272
12.3546, 14.1000, -4.8037, 0.0597, R, 0.6250
12.1144, 14.1026, -4.8029, 0.0464, L, 3.8744
11.8743, 14.1046, -4.8021, 0.0348, R, 1.4340
11.6342, 14.1061, -4.8015, 0.0249, L, 2.9571
11.3941, 14.1072, -4.8010, 0.0166, R, 3.1813
11.1541, 14.1078, -4.8006, 0.0100, L, 0.7822
10.9140, 14.1082, -4.8003, 0.0050, R, 3.1493
10.6740, 14.1084, -4.8001, 0.0017, L, 1.5530
